RPM,Padm,Pdis,SN,SC,Torque,Ht,Nh,Nm,Eff
1800,-0.01,0.12,35.8,10.9,0.35,1.52,2.71,66.2,4.1
1800,-0.01,0.13,33.75,9.98,0.34,1.58,2.57,63.44,4.05
1800,-0.01,0.14,33.6,9.91,0.35,1.69,2.74,66.03,4.15
1800,-0.01,0.16,31.01,8.79,0.35,1.81,2.6,66,3.94
2200,-0.04,0.15,40.12,12.93,0.38,2.09,4.42,88.3,5.01
2200,-0.04,0.15,39.75,12.75,0.38,2.14,4.46,86.8,5.13
2200,-0.03,0.18,39.5,12.63,0.39,2.29,4.73,89.88,5.27
2200,-0.01,0.25,33.35,9.8,0.43,2.82,4.52,99.97,4.52
2200,-0.01,0.25,33.79,10,0.43,2.85,4.65,98.96,4.7
2200,-0.05,0.14,40.55,13.14,0.36,2.09,4.5,83.97,5.35
2200,-0.04,0.15,39.54,12.65,0.37,2.15,4.45,84.85,5.25
2800,-0.14,0.26,31.18,23.48,0.65,4.21,16.17,190.13,8.51
2800,-0.14,0.27,31.1,23.39,0.65,4.3,  16.43,189.4,8.67
2800,-0.04,0.43,21.5,13.44,0.68,4.97,10.92,199.12,5.48
2800,0.01,0.89,14.03,7.08,0.61,9.15,10.6,179.44,5.9
